type;Variables;unit;Agents/Sectors;2010;2016;2018;REF;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3
nominal;Net Debt;G€;1.  Corporations;1911.3;2132.9;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1;2133.1
nominal;Net Debt;G€;2.  Government;1067.6;1708;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4;1720.4
nominal;Net Debt;G€;3.  Households;-2624.2;-3583.9;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588;-3588
nominal;Net Debt;G€;4.  Rest of the World;-354.7;-257;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6;-265.6
nominal;GDP sect;G€;1.  Crude_oil;0.27;0.124;0.132;0.132;1.383;1.38;1.388;1.383;1.379;1.379;1.382;1.379;1.38;1.377;1.391;1.381;1.376;1.376;1.386;1.376
nominal;GDP sect;G€;2.  Natural_gas;7.469;5.632;5.84;5.84;13.926;14.03;13.985;13.936;13.87;13.87;13.926;13.882;13.928;14.035;14.025;13.925;13.871;13.871;13.966;13.87
nominal;GDP sect;G€;3.  Coal;0.287;0.229;0.234;0.234;4.786;4.684;3.481;4.77;4.758;4.758;3.455;4.741;4.722;4.622;3.498;4.721;4.693;4.693;3.472;4.692
nominal;GDP sect;G€;4.  AllFuels;37.406;34.183;35.928;35.928;52.167;51.979;51.592;52.142;51.998;51.998;51.408;51.971;52.062;51.877;51.72;52.07;51.892;51.892;51.535;51.897
nominal;GDP sect;G€;5.  Electricity;24.986;34.981;35.98;35.98;35.16;36.278;31.984;34.667;34.986;34.986;31.861;34.51;35.625;36.756;32.06;34.976;35.452;35.452;31.937;34.819
nominal;GDP sect;G€;6.  HeatGeoSol_Th;0.398;0.711;0.74;0.74;0.758;0.775;0.336;0.728;0.754;0.754;0.334;0.724;0.764;0.781;0.336;0.733;0.76;0.76;0.335;0.729
nominal;GDP sect;G€;7.  Heavy_Industry;124.675;139.21;145.252;145.252;144.522;143.867;142.915;144.376;143.372;143.372;141.741;143.217;144.693;144.034;143.659;144.655;143.529;143.529;142.481;143.485
nominal;GDP sect;G€;8.  Buildings_constr;17.497;22.835;23.943;23.943;24.986;25.583;25.323;25.044;23.56;23.56;23.919;23.624;25.473;26.08;25.324;25.426;24.024;24.024;23.919;23.987
nominal;GDP sect;G€;9.  Work_constr;95.493;122.114;128.204;128.204;132.226;133.736;134.132;132.399;125.837;125.837;127.831;126.022;134.814;136.356;134.397;134.699;128.313;128.313;128.094;128.227
nominal;GDP sect;G€;10. Automobile;42.504;48.824;51.12;51.12;51.828;51.679;51.942;51.825;50.818;50.818;50.921;50.812;52.172;52.036;52.323;52.196;51.143;51.143;51.301;51.166
nominal;GDP sect;G€;11. Load_PipeTransp;-1.518;-1.674;-1.849;-1.849;-2.445;-2.557;-5.194;-2.452;-2.481;-2.481;-5.162;-2.49;-2.113;-2.226;-5.245;-2.094;-2.148;-2.148;-5.213;-2.132
nominal;GDP sect;G€;12. PassTransp;7.189;7.814;8.175;8.175;7.883;7.849;7.956;7.885;7.836;7.836;7.913;7.838;8.064;8.027;8.096;8.071;8.016;8.016;8.053;8.023
nominal;GDP sect;G€;13. Agri_Food_industry;144.698;161.987;170.178;170.178;169.029;168.409;168.845;169;167.994;167.994;167.774;167.956;170.726;170.082;170.932;170.798;169.669;169.669;169.85;169.733
nominal;GDP sect;G€;14. Property_business;236.05;263.875;277.802;277.802;277.463;289.257;278.492;278.159;275.1;275.1;276.148;275.88;281.601;293.478;282.296;281.289;279.193;279.193;279.932;278.971
nominal;GDP sect;G€;15. OthSectors;1199.779;1379.746;1446.948;1446.948;1444.147;1444.291;1458.09;1445.068;1426.366;1426.366;1440.71;1427.319;1460.908;1461.033;1467.076;1461.102;1442.892;1442.892;1449.648;1443.151
-;Y;volume;1.  Crude_oil;2406.2889;939;947.5214;947.5214;865.53394;859.93166;866.35341;865.24884;862.8021;862.8021;863.14846;862.44023;862.51556;856.9594;868.61017;863.08748;859.7416;859.7416;865.39297;860.24352
