"Household Identifier (French metropolitain households only)
Source : table ""households"" in BDF, INSEE";"INSEE Statistical ponderation (for making the sample representative for the total French metropolitan population)
Source : table ""households"" in BDF, INSEE";"Expenditures (COICOP)
Food and non alcoholic beverages
Source : table ""Expenditures"", BDF, INSEE";"Expenditures (COICOP)
Acoholic beverages, tabocco and narcotics";"Expenditures (COICOP)
Clothing and footware";"Expenditures (COICOP)
Housing, electricity, gas and other combustibles";"Expenditures (COICOP)
Furnitures, housekeeping and home maintenance";"Expenditures (COICOP)
Health";"Expenditures (COICOP)
Transports";"Expenditures (COICOP)
Communications";"Expenditures (COICOP)
Leisure and culture";"Expenditures (COICOP)
Education";"Expenditures (COICOP)
Hotels and restaurants";"Expenditures (COICOP)
Miscellaneous goods and services";"Expenditures (COICOP)
Taxes, loan payments, large works, savings, and employer's fees";"Expenditures (COICOP)
Housing allocations received (APL)";"Total final consumption expenditures 
Include items C1 to C12 ";;"Total current income divided by the number of consumption units according to the OECD equilence scale
(standard of leaving definition)
Computed ";"Standard of leaving decile
(computed using revtotuc)";"Total number of people
Source : Table ""Households"" from BDF, INSEE";"Number of pensioners
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 5 (retired or ""pre-retired"") for variable SITUA (labour market status).";"Number of unemployed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 4 (unemployed people registered or non to the French employment office) for variable SITUA (labour market status).";"Number of employed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 1 (employed) and 2 (pais apprentice/trainee) for variable SITUA (labour market status).";"Number of consumption units (OECD equivalent scale : 1 for the first adult, 0.5 for each person older than 14, 0.3 for each person younger than 14)
Source : Table ""Households"" from BDF, INSEE";"Net wages
Source : Table ""Households"" from BDF, INSEE";"Incomes of self-employed persons
Source : Table ""Households"" from BDF, INSEE";"Unemployment benefits
Source : Table ""Households"" from BDF, INSEE";"Pension benefits
Source : Table ""Households"" from BDF, INSEE";"Social benefits
Source : Table ""Households"",  BDF, INSEE";"Other social benefits 
Computed : Social Benefits (revsoc) minus Pension Benefits (retraites) minus Unemployment Benefits (chomage)
Source (revsoc, retraites, chomage): Table ""Households"",  BDF, INSEE";"Property income
Source : Table ""Households"" from BDF, INSEE";;;;;;;;;;;;;;
13672;6065,870708;2882;0;0;9014;54;0;0;0;410;0;0;1824;473;1800;14184;0;18500;5;1;1;0;0;1;0;0;0;16700;18500;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13674;2593,745385;7275;0;6182;5124;694;843;8095;1972;12795;383;3339;9330;66136;0;56032;6864;27666;8;3;0;0;1;1,8;33550;0;0;0;1520;1520;328;205;123;0;0;0;0;0;0;0;0;0;0;0;0
13676;1166,009473;2808;744;1210;2879;1548;1380;3031;1064;6967;300;1267;3948;2299;0;27146;8892;4478;1;3;0;0;1;2;5220;0;0;0;1450;1450;286;181;0;0;0;105;0;0;0;0;0;0;0;0;0
13677;1858,469091;357;1643;1070;1441;0;30;1248;699;229;0;0;1922;25951;0;8639;5760;22847;7;2;0;0;2;1,5;34190;0;0;0;0;0;81;81;0;0;0;0;0;0;0;0;0;0;0;0;0
13678;858,8116295;10941;3658;7461;2456;1569;24;33088;1141;3071;14;8289;13159;8706;0;84871;3708;36794;9;4;0;0;2;2,3;82590;0;0;0;1490;1490;546;459;0;0;0;87;0;0;0;0;0;0;0;0;0
13683;2070,88848;3549;167;294;1511;283;412;0;863;339;240;0;2402;1233;0;10060;3216;11434;2;2;0;0;1;1,5;17100;0;0;0;0;0;51;51;0;0;0;0;0;0;0;0;0;0;0;0;0
13685;8422,017197;4557;0;1512;3850;1760;0;5350;475;3319;0;2031;5861;8787;0;28715;9408;30765;9;1;1;0;0;1;0;0;0;21060;21060;0;9705;3;0;36;1;65;0;0;9600;0;0;0;0;0;0
13686;3076,279777;3847;0;1233;4781;411;464;5486;660;5385;0;5600;3683;19274;0;31550;5724;35460;9;1;1;0;0;1;0;0;0;27460;27460;0;8000;0;0;0;0;0;0;0;8000;0;0;0;0;0;0
13687;2508,794617;0;0;390;1584;0;36;6043;360;496;0;0;2267;1400;2376;11176;0;12836;3;1;1;0;0;1;0;0;0;10460;12836;2376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13689;2288,344801;3725;0;3219;2404;1171;12;720;1368;261;0;0;2898;0;5316;15778;0;10005;2;7;0;1;0;3,4;17510;0;0;0;16316;16316;191;191;0;0;0;0;0;0;0;0;0;0;0;0;0
13691;2384,532541;309;1144;1764;1860;0;2513;6409;528;789;600;2759;3336;8687;3348;22011;5016;12392;2;3;0;0;1;1,8;10110;0;2430;0;7928;5498;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0
13692;3233,771206;0;0;0;4298;13496;200;210;385;121;0;17161;2479;8567;0;38350;5952;31761;9;1;1;0;0;1;0;0;0;31110;31110;0;651;337;0;0;0;314;0;0;0;0;0;0;0;0;0
13695;3437,602696;5134;1647;2400;5136;1154;0;1893;678;5581;0;8295;1049;1298;1536;32967;0;16761;4;1;0;1;0;1;7120;0;7920;0;9456;1536;35;21;0;0;0;14;0;0;0;0;0;0;0;0;0
13696;1721,471141;11871;1451;900;8861;237;548;22412;704;7415;0;2912;6752;12874;0;64063;5988;14619;3;5;1;0;2;3;14810;0;0;21530;27770;6240;1278;149;0;0;103;1026;0;0;0;0;0;0;0;0;0
13697;2877,857891;8612;746;4004;3395;1685;1189;744;227;800;0;5102;10847;21200;0;37351;14280;35548;9;3;0;0;2;1,8;62520;0;0;0;0;0;1467;832;0;594;41;0;0;0;0;0;0;0;0;0;0
13701;3343,300347;200;0;264;7193;7397;54;2589;1151;2585;0;1761;2857;696;0;26051;0;13884;3;2;0;0;2;1,5;19680;0;480;0;480;0;306;220;0;36;0;50;0;0;0;0;0;0;0;0;0
13703;1292,567534;4549;156;588;1487;928;0;5200;1218;1310;0;570;2468;7111;0;18474;4692;18267;5;2;0;0;2;1,5;27400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13705;1400,128275;7190;5886;1063;2280;1523;192;500;883;3431;0;1918;3118;7551;1440;27984;5292;12249;2;3;0;0;2;1,8;6180;13620;0;0;2110;2110;138;138;0;0;0;0;0;0;0;0;0;0;0;0;0
13706;3133,784187;3191;0;42;1475;0;190;0;166;214;0;0;3564;0;2580;8842;0;11829;2;1;1;0;0;1;0;0;0;5670;10730;5060;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0
13708;2065,810826;1822;83;0;1190;0;379;1460;708;672;0;62;21888;3029;0;28264;4500;18210;5;1;0;0;1;1;15020;0;2770;290;3060;0;130;130;0;0;0;0;0;0;0;0;0;0;0;53000;0
13710;2916,396529;7829;978;263;6136;3642;0;0;488;138;0;0;3393;870;0;22867;8940;15820;4;2;2;0;0;1,5;0;0;0;23730;23730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13711;3045,526099;15456;3623;30;2398;255;180;0;450;874;0;0;4080;2605;0;27346;5292;15405;4;3;2;1;0;2;1190;0;4240;25380;29620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13712;3636,768793;850;676;1564;7374;0;0;50;400;625;0;0;958;2376;0;12497;0;17360;5;1;0;0;1;1;17360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13714;2075,509111;6222;591;1516;1780;10527;120;20362;1010;3047;1956;1000;3937;24813;0;52068;5976;16946;5;4;0;0;2;2,5;42260;0;0;0;0;0;106;73;0;33;0;0;0;0;0;0;0;0;0;0;0
13715;1922,293528;5583;0;1716;1707;1344;234;110;948;2011;0;720;3920;6788;0;18293;6564;17963;5;4;0;1;1;2,1;25750;0;7990;0;11330;3340;642;229;0;208;0;205;0;0;0;0;0;0;0;0;0
13716;2514,615819;2402;207;450;1607;532;153;27684;150;537;0;0;5303;651;0;39025;6672;17573;5;2;2;0;0;1,5;0;0;0;26360;26360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13717;2302,112105;2852;150;4759;3407;5415;4919;4956;2052;5547;1400;6352;16530;4798;0;58339;13872;28324;8;4;0;0;2;2,5;54870;330;0;12160;15610;3450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13719;3873,500657;8371;516;1073;2554;1456;72;2098;937;1391;0;3844;8668;10203;0;30980;4584;36311;9;2;0;0;2;1,5;54090;0;0;0;0;0;376;81;0;0;0;295;0;0;0;0;0;0;0;0;0
13721;4974,652458;3236;300;4037;5038;542;16;3938;1171;1081;0;2450;3935;13181;0;25744;6924;42382;10;2;0;0;2;1,5;60050;0;0;0;0;0;3523;281;0;1075;281;586;0;0;1300;0;0;0;0;0;0
13722;2725,237763;1511;374;2669;3166;532;900;485;649;1487;0;300;1267;0;5640;13340;0;10865;2;5;0;0;0;2,4;2980;0;0;0;22780;22780;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0
13723;2699,337082;6458;146;1055;1477;6590;163;26790;1441;5158;0;2068;6331;10982;0;57677;3552;27045;8;2;0;0;2;1,5;29100;0;0;0;0;0;11468;372;0;462;0;1014;0;0;6200;0;3420;0;0;0;0
13724;6349,622006;2066;796;911;5448;221;150;1066;796;852;0;1589;1089;0;0;14984;0;18636;5;2;0;0;2;1,5;15700;0;0;0;11890;11890;364;145;0;0;0;219;0;0;0;0;0;0;0;0;0
13725;2966,801757;6654;244;127;2041;2545;611;1134;2271;121;0;2408;2058;1498;0;20214;3972;18991;5;2;1;0;1;1,5;7350;0;0;15860;21100;5240;37;37;0;0;0;0;0;0;0;0;0;0;0;0;0
13726;1430,942466;7564;0;1373;2157;1139;68;12208;1660;4497;0;3130;2712;2065;0;36508;5304;20621;6;2;0;0;2;1,5;20520;0;0;10400;10400;0;12;0;0;0;1;11;0;0;0;0;0;0;0;0;0
13727;3255,087555;7735;0;4172;0;3050;18;810;526;1884;0;1938;9285;11955;0;29418;6948;25490;8;4;0;0;2;2,1;42810;0;0;0;9970;9970;748;145;0;583;20;0;0;0;0;0;0;0;0;0;0
13729;2238,716841;419;0;0;537;280;1278;0;360;2515;0;2057;1485;6711;0;8931;3156;17187;5;1;0;0;1;1;17100;0;0;0;0;0;87;13;0;0;0;74;0;0;0;0;0;0;0;0;0
13730;4261,316502;8820;0;3124;2288;1018;18;3438;792;1866;0;1343;4865;16373;0;27572;5292;40565;10;2;0;0;2;1,5;60670;0;0;0;0;0;177;70;0;61;0;46;0;0;0;0;0;0;0;0;0
13731;2462,412464;7920;0;2539;1520;5820;105;6181;711;10565;0;3710;13415;33361;0;52486;6012;61595;10;4;0;0;2;2,1;41710;84180;0;0;1520;1520;1939;349;0;393;117;1080;0;0;0;0;0;0;0;0;0
13733;3344,44776;1478;0;95;2399;2070;1261;2800;444;1326;0;957;3838;1737;0;16668;5100;23078;7;2;2;0;0;1,5;0;0;0;34390;34390;0;227;227;0;0;0;0;0;0;0;0;0;0;0;0;0
13734;3327,078514;3636;624;757;5352;420;493;615;552;460;0;0;2976;1685;0;15885;0;20758;6;1;0;0;1;1;20500;0;0;0;0;0;258;8;0;250;0;0;0;0;0;0;0;0;0;0;0
13735;6138,621792;5681;0;1049;2070;369;60;130;384;2481;0;0;4480;8367;0;16704;5376;37057;9;2;2;0;0;1,5;8470;0;0;46640;46640;0;476;267;0;0;0;209;0;0;0;0;0;0;0;0;0
13736;2622,583119;6086;0;510;1950;1689;116;12738;1208;874;600;3828;2932;10334;0;32531;4020;16364;4;5;0;0;2;2,8;38570;0;0;0;7250;7250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13737;2921,314735;2410;0;612;3500;0;438;0;270;634;0;0;3202;1598;0;11066;2748;16970;5;1;1;0;0;1;0;0;0;16970;16970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13738;3575,16783;1340;0;888;1685;122;270;120;576;2757;0;786;4580;4752;0;13124;3636;14467;3;1;0;0;1;1;13860;0;0;0;0;0;607;0;0;607;0;0;0;0;0;0;0;0;0;0;0
13739;2328,614574;4899;0;1449;1137;1393;0;1326;611;5147;0;200;2290;18901;0;18452;6912;43232;10;1;0;0;1;1;37470;0;0;0;0;0;5762;44;0;60;38;5120;0;0;500;0;0;0;0;0;0
13740;1549,424455;356;2268;3756;1408;0;240;216;659;349;1875;800;1170;0;4044;13097;0;7228;1;2;0;1;1;1,5;0;0;5520;0;10834;5314;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0
13741;3470,504484;6653;0;0;1950;215;60;600;828;1418;50;0;4550;1642;0;16324;7920;12602;3;4;0;1;1;2,5;17460;0;11720;0;13970;2250;76;76;0;0;0;0;0;0;0;0;0;0;0;0;0
13742;5351,384221;8826;910;5030;2380;1489;132;3976;473;4759;0;1353;6142;18356;0;35470;4980;28338;8;3;0;0;2;1,8;45920;0;0;0;5030;5030;59;50;0;0;0;9;0;0;0;0;0;0;0;0;0
13743;2993,80347;8497;556;353;7640;749;444;9931;525;3226;0;4319;3897;1866;0;40137;0;20564;6;2;0;0;2;1,5;30670;0;0;0;0;0;176;91;0;85;0;0;0;0;0;0;0;0;0;0;0
13745;3503,110992;981;2808;307;4220;0;126;8564;980;303;0;0;4054;3169;60;22343;0;12446;2;2;0;0;2;1,5;18460;0;0;0;60;60;149;149;0;0;0;0;0;0;0;0;0;0;0;0;0
13746;3756,118138;68;0;300;5370;0;216;200;1200;1369;0;936;2663;4254;0;12322;0;24790;7;1;1;0;0;1;0;0;0;24790;24790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13748;3447,156282;3315;20;0;3039;359;216;1595;689;836;0;1148;1123;344;2988;12340;0;9934;2;1;0;1;0;1;0;0;0;0;4588;4588;146;8;0;138;0;0;0;0;0;0;0;0;0;0;0
13749;2090,229413;7079;0;2101;1780;763;388;5990;816;1738;0;4385;3086;5649;408;28126;11796;14171;3;4;0;0;2;2,1;26990;0;0;0;2528;2528;241;227;0;0;0;14;0;0;0;0;0;0;0;0;0
13751;2315,352769;10569;6946;2846;2537;4675;0;0;1871;8161;0;1020;7084;19894;0;45709;7284;30961;9;2;0;0;2;1,5;46090;0;0;0;0;0;352;352;0;0;0;0;0;0;0;0;0;0;0;0;0
13752;6189,072627;1190;0;4223;2400;0;82;2003;359;1860;0;458;760;0;2880;13335;0;10245;2;1;0;0;1;1;2520;0;0;0;2880;2880;45;43;0;0;0;0;0;2;0;0;0;0;0;0;0
13753;1626,332901;3485;1248;1258;1284;233;210;570;540;30;0;0;1326;3600;4716;10184;0;7979;1;4;0;1;0;2,1;2480;0;3950;0;13076;9126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13754;2402,582906;1412;3914;328;4354;0;0;0;519;0;0;0;1087;284;0;11614;0;15140;4;1;0;0;1;1;15140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13755;1840,726475;281;1165;762;4816;2690;529;0;807;1431;0;576;1892;0;1584;14949;0;22787;7;3;0;0;2;2;14520;0;5390;0;31054;25664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13756;6312,831997;7771;0;3778;3130;720;2761;135;620;748;0;0;2635;12845;0;22298;9444;31297;9;2;0;0;2;1,5;46380;0;0;0;0;0;566;318;0;248;0;0;0;0;0;0;0;0;0;0;0
13757;3548,580384;2951;0;3473;4755;1291;36;988;514;3475;0;0;4405;46;1440;21888;0;9095;1;4;0;0;1;2,1;11660;0;0;0;7440;7440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13760;1834,912275;484;0;0;1013;438;6;4212;468;121;0;0;1684;197;0;8426;4464;7390;1;1;1;0;0;1;0;0;0;7390;7390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13761;1420,28826;3414;416;1921;1677;7128;515;46730;1872;11540;0;2957;14283;21214;0;92453;5604;23884;7;4;0;1;2;2,5;53350;5610;0;0;0;0;750;102;0;238;0;410;0;0;0;0;0;0;0;1900;0
13763;2955,918525;6879;62;563;6220;54;6;360;341;1605;1800;3840;1976;1158;0;23706;0;18032;5;2;0;0;1;1,5;26720;0;0;0;310;310;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0
13766;2206,084736;2475;725;281;886;477;684;850;252;1095;0;780;1368;808;0;9873;2652;15675;4;1;1;0;0;1;0;0;0;15670;15670;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0
13767;4180,038507;1810;262;347;888;225;6;0;240;48;0;0;1766;1814;0;5592;1944;11791;2;1;1;0;0;1;0;0;0;11630;11630;0;161;161;0;0;0;0;0;0;0;0;0;0;0;0;0
13768;2115,487306;4076;442;459;2098;5566;1032;2322;755;9155;0;350;3089;8122;0;29344;3528;35214;9;1;1;0;0;1;0;0;0;29270;29270;0;5944;172;0;0;240;5532;0;0;0;0;0;0;0;0;0
13769;3142,440198;3370;728;80;5562;1702;0;12749;780;221;0;1200;1577;3940;0;27969;0;17452;5;2;0;0;1;1,3;22400;0;0;0;280;280;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0
13770;1787,641;1478;275;406;876;472;749;683;516;715;0;390;3188;1046;0;9748;6768;14689;3;2;1;0;1;1,5;4840;0;0;14580;14580;0;2613;253;0;0;133;2227;0;0;0;0;0;0;0;0;0
13772;3236,227187;453;0;3870;2190;0;60;2364;646;1914;23;3890;833;480;1824;16243;0;4283;1;1;0;0;0;1;1660;0;0;0;1824;1824;52;14;0;38;0;0;0;0;0;0;0;0;0;250;0
13774;1256,358082;3783;1404;4540;4560;755;735;2352;1062;2865;0;1431;4732;4428;0;28219;4476;21451;6;3;0;0;2;2;42350;0;0;0;0;0;551;259;0;292;0;0;0;0;0;0;0;0;0;0;0
13775;900,4545438;11862;300;4491;3760;492;1164;11774;1784;3933;0;6255;3973;19705;0;49788;6036;29323;9;5;0;1;2;2,8;76850;190;0;0;4400;4400;664;44;0;91;0;529;0;0;0;0;0;0;0;0;0
13776;4502,045033;3677;4553;293;2930;809;144;11013;703;121;0;1239;1195;2795;0;26677;0;16068;4;1;0;0;1;1;16050;0;0;0;0;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0
13777;4480,909685;3139;1060;1050;3294;5883;678;21544;1449;13910;0;2363;3567;26741;0;57937;4836;27088;8;2;0;1;1;1,5;28180;0;10890;0;10890;0;1562;566;0;562;0;434;0;0;0;0;0;0;0;0;0
13778;3219,499733;641;0;803;5412;50;654;2512;533;584;0;0;2386;813;204;13575;0;14101;3;1;0;0;1;1;13350;0;0;0;714;714;37;8;0;0;0;29;0;0;0;0;0;0;0;0;0
13784;3509,459684;10137;3234;180;9906;777;234;9972;1308;1821;0;344;3233;2079;0;41146;0;19030;5;4;0;0;2;2,5;44510;0;1440;0;2960;1520;104;90;0;0;0;14;0;0;0;0;0;0;0;0;0
13788;2098,003513;55;3211;1761;10270;2637;1341;15267;1103;8539;0;60;5794;6101;0;50038;0;13638;3;5;0;1;1;2,4;5540;17680;3150;0;9070;5920;441;85;0;41;0;315;0;0;0;0;0;0;0;0;0
13791;2848,068353;9665;0;119;2378;1715;151;435;558;1889;0;0;3934;11865;0;20844;4884;26583;8;2;2;0;0;1,5;0;0;0;37030;37030;0;2845;1962;0;0;51;832;0;0;0;0;0;0;0;0;0
13792;3160,086636;1928;863;0;4978;155;114;0;2186;4330;0;515;886;2225;0;15955;0;18740;5;1;0;0;1;1;18740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13793;3626,824877;1621;0;725;3268;519;24;0;809;842;0;1118;762;394;3756;9688;0;11857;2;2;0;0;1;1,3;6280;0;0;0;9126;9126;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0
13795;2045,748886;8048;2407;0;5801;0;96;0;348;0;0;0;3024;0;2304;19724;0;10602;2;3;2;1;0;2;0;0;0;18900;21204;2304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13796;3655,292799;921;1123;215;1524;45;462;0;0;8;0;374;532;0;2736;5204;0;11971;2;1;0;0;0;1;0;0;0;0;11486;11486;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0
13798;2910,952052;1630;0;785;1663;62;633;3036;399;1602;0;926;1898;2766;0;12634;4560;19268;6;1;0;1;0;1;13670;0;5280;0;5280;0;318;231;0;13;0;74;0;0;0;0;0;0;0;0;0
13799;1954,214584;12003;1724;2729;4660;2381;66;4925;520;4513;0;6708;3719;7021;0;43948;5964;36915;9;2;2;0;0;1,5;0;0;0;54510;54510;0;863;863;0;0;0;0;0;0;0;0;0;0;0;0;0
13800;2858,623359;5709;413;700;1141;0;102;567;1080;848;0;0;1435;6729;0;11995;9828;33223;9;1;0;0;1;1;32280;0;0;0;0;0;943;333;0;610;0;0;0;0;0;0;0;0;0;0;0
13802;2161,291646;879;0;2452;1106;0;336;11340;500;2443;0;200;8299;3939;0;27555;6840;24090;7;2;2;0;0;1,5;0;0;0;34350;34350;0;1785;146;0;0;0;1639;0;0;0;0;0;0;0;0;0
13803;1027,540735;5240;0;538;6125;2255;0;2500;1275;1475;348;500;3224;18656;0;23480;6084;16115;4;5;0;1;2;2,8;34170;0;6960;0;10930;3970;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0
13804;6080,018362;1366;0;179;4272;800;180;2390;120;1128;0;774;2174;0;2232;13383;0;8601;1;2;2;0;0;1,5;0;0;0;10670;12902;2232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13806;2146,898507;1892;1841;2397;3117;40;662;19046;1018;647;0;3496;4334;30167;1524;38490;6432;8903;1;6;0;0;1;3,1;6160;4280;0;220;17134;16914;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0
13808;1713,715843;1153;0;3174;11468;5707;50;34252;3140;2247;0;10775;11992;49176;0;83958;4236;92210;10;1;1;0;0;1;0;0;0;77210;77210;0;15000;0;0;0;0;0;0;0;15000;0;0;0;0;0;0
13809;2682,667693;6297;1234;0;4639;0;270;2755;67;395;0;1704;839;3248;0;18200;0;17957;5;1;0;0;1;1;17920;0;0;0;0;0;37;0;0;37;0;0;0;0;0;0;0;0;0;0;0
13810;782,4713799;8310;0;4021;1990;1695;548;1320;1546;1827;0;1477;8293;8346;0;31027;7284;19652;6;5;1;0;2;2,6;30410;0;0;18440;20560;2120;126;126;0;0;0;0;0;0;0;0;0;0;0;0;0
13811;3162,302426;11047;518;0;3909;1109;438;4163;960;7596;0;3399;5593;13946;0;38732;19872;47064;10;2;1;1;0;1,5;0;9660;28680;31810;60490;0;446;446;0;0;0;0;0;0;0;0;0;0;0;0;0
13812;2007,936093;8197;2623;0;3487;1578;1540;5316;656;1703;0;260;1826;335;1248;27186;0;13085;3;2;2;0;0;1,5;0;0;0;14570;19628;5058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13813;3486,643224;8902;0;1578;3800;230;60;400;1046;580;7200;1836;9684;36791;0;35316;18780;56549;10;4;0;0;2;2,1;116720;0;0;0;1880;1880;152;0;0;152;0;0;0;0;0;0;0;0;0;0;0
13814;2824,667946;10008;0;1732;5230;3033;621;26650;2316;6244;0;12152;13973;64016;0;81959;10200;61884;10;5;0;0;1;2,6;1990;148690;0;0;3890;3890;6329;141;0;1074;0;4214;0;0;900;0;0;0;0;0;0
13815;3117,561182;2660;0;1438;5636;766;366;648;166;5477;0;0;2841;6481;0;19998;0;17998;5;1;0;0;1;1;17970;0;0;0;0;0;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0
13816;2514,274463;17691;1851;360;2281;1811;636;4654;1837;31239;0;2656;8303;32442;0;73319;9756;25960;8;4;0;0;2;2,3;56460;0;0;0;1520;1520;1729;132;0;1240;2;355;0;0;0;0;0;0;0;0;0
13817;3073,734345;10929;0;1721;10646;994;288;3138;1243;3096;0;5906;1375;5531;0;39336;0;39254;10;2;0;0;2;1,5;58700;0;0;0;0;0;181;79;0;0;0;102;0;0;0;0;0;0;0;0;0
13818;2019,108529;11905;0;231;2208;820;360;14000;567;1940;0;0;8686;14251;0;40717;5748;17899;5;1;1;0;0;1;0;0;0;15190;15190;0;2709;143;0;0;0;2566;0;0;0;0;0;0;0;0;0
13819;4183,941153;5013;920;0;2022;0;568;9262;1356;323;0;300;4405;3153;0;24169;6168;23902;7;2;2;0;0;1,5;0;0;0;33770;33770;0;2083;162;0;146;0;1362;0;413;0;0;0;0;0;0;0
13820;4023,72548;3850;1565;2939;1406;6176;60;25974;642;14026;0;567;21467;263071;0;78672;5484;11478;2;2;0;1;0;1,5;9250;0;0;0;0;0;1967;87;0;0;0;1880;0;0;0;0;0;0;0;0;0
13821;1094,892592;2724;2106;202;1521;234;1022;24662;1257;3002;0;858;4206;10565;0;41794;2676;25001;8;3;0;0;3;2;49600;0;0;0;0;0;401;152;0;249;0;0;0;0;0;0;0;0;0;0;0
13822;4989,847179;3450;0;3026;7079;200;96;1266;492;1331;0;855;5513;8203;0;23308;0;36254;9;1;1;0;0;1;0;0;0;35290;35290;0;964;195;0;137;21;611;0;0;0;0;0;0;0;0;0
13823;837,7441102;6998;0;962;1619;1786;458;358;760;1926;4;1512;13291;1853;0;29674;8904;12370;2;3;0;0;0;2;0;0;0;15540;24290;8750;450;450;0;0;0;0;0;0;0;0;0;0;0;0;0
13824;1358,741838;6337;115;2523;2394;4772;6;32565;4262;7733;0;1995;10547;20929;0;73249;8220;55833;10;3;0;0;2;1,8;0;99780;0;0;0;0;719;407;0;0;54;258;0;0;0;0;0;0;0;0;0
13825;1793,085247;4121;196;1319;1300;1971;6;3310;1662;2884;1000;3090;8264;6011;0;29123;25848;26263;8;6;0;0;2;3,1;67960;0;0;0;8560;8560;4896;393;0;354;0;4149;0;0;0;0;0;0;0;0;0
13826;3481,216717;708;296;214;1663;0;80;0;251;144;0;0;154;1094;0;3510;4884;7120;1;2;0;1;0;1,5;0;0;5600;0;10680;5080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13827;3910,728596;5124;0;309;2618;383;18;60;707;1058;0;0;1129;1556;0;11406;4248;18499;5;2;1;0;0;1,5;2720;0;0;17310;24990;7680;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0
13829;5923,402345;4625;4659;0;8020;790;12;3402;1104;1706;0;5303;900;3891;0;30521;0;26723;8;2;0;0;2;1,5;39480;0;0;0;580;580;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0
13830;3354,130238;4628;0;1944;8824;0;0;1981;1380;3526;0;1180;2470;4299;0;25933;0;23982;7;2;0;1;1;1,5;35860;0;0;0;0;0;113;113;0;0;0;0;0;0;0;0;0;0;0;0;0
13831;6448,090536;5113;1225;611;8330;752;0;3456;737;879;0;582;4305;6651;0;25990;0;21815;7;2;0;0;2;1,5;32700;0;0;0;0;0;23;18;0;5;0;0;0;0;0;0;0;0;0;0;0
13833;1880,04078;1204;0;3917;1376;2058;132;3400;868;0;0;0;1963;0;4236;14918;0;13477;3;3;0;0;2;1,8;12290;0;0;0;11866;11866;103;8;0;95;0;0;0;0;0;0;0;0;0;0;0
13834;2298,436297;1760;0;184;1123;0;584;0;242;275;0;0;1329;2813;0;5497;4464;12180;2;1;1;0;0;1;0;0;0;7180;7180;0;4880;128;0;0;0;0;0;4752;0;0;0;0;0;0;0
13835;2842,207537;9660;582;396;10735;3;150;226;456;2755;1800;2210;1708;1873;0;30681;0;18802;5;5;0;0;2;2,4;37150;0;0;0;7860;7860;115;53;0;0;62;0;0;0;0;0;0;0;0;0;0
13836;3396,500267;1217;1352;567;8100;0;121;150;788;1640;0;3595;1310;209;360;18840;0;16765;4;2;0;0;1;1,3;21390;0;0;0;360;360;44;44;0;0;0;0;0;0;0;0;0;0;0;0;0
13838;967,4506538;11126;1856;1603;2228;542;1027;855;950;1662;500;3060;3121;13785;0;28530;6204;15755;4;5;0;0;2;2,8;36470;0;0;0;7330;7330;313;126;0;4;2;181;0;0;0;0;0;0;0;0;0
